SchoolYear,ESD,CountyNumber,county,CountyDistrictNumber,district,GradeTested,ReadingTotalTestedNotTested,ReadingTotalMSP_HSPETested,ReadingMetStandardIncludingPrevPass,ReadingPercentMetStandardIncludingPrevPass,ReadingMetStandardWithoutPrevPass,ReadingPercentMetStandardWithoutPrevPass,ReadingPercentMetStandardExcludingNoScore,ReadingLevel1,ReadingPercentLevel1,ReadingLevel2,ReadingPercentLevel2,ReadingLevelBasic,ReadingPercentLevelBasic,ReadingLevel3,ReadingPercentLevel3,ReadingLevel4,ReadingPercentLevel4,ReadingNoScore,ReadingPercentNoScore,ReadingNotMet,ReadingPercentNotMet,ReadingExcusedAbsence,ReadingExempted,ReadingWAASPORT,ReadingWAASDAPE,MathTotalTestedNotTested,MathTotalMSP_HSPETested,MathMetStandardIncludingPrevPass,MathPercentMetStandardIncludingPrevPass,MathMetStandardWithoutPrevPass,MathPercentMetStandardWithoutPrevPass,MathPercentMetStandardExcludingNoScore,MathLevel1,MathPercentLevel1,MathLevel2,MathPercentLevel2,MathLevelBasic,MathPercentLevelBasic,MathLevel3,MathPercentLevel3,MathLevel4,MathPercentLevel4,MathNoScore,MathPercentNoScore,MathNotMet,MathPercentNotMet,MathExcusedAbsence,MathExempted,MathWAASPORT,MathWAASDAPE,WritingTotalTestedNotTested,WritingTotalMSP_HSPETested,WritingMetStandardIncludingPrevPass,WritingPercentMetStandardIncludingPrevPass,WritingMetStandardWithoutPrevPass,WritingPercentMetStandardWithoutPrevPass,WritingPercentMetStandardExcludingNoScore,WritingLevel1,WritingPercentLevel1,WritingLevel2,WritingPercentLevel2,WritingLevelBasic,WritingPercentLevelBasic,WritingLevel3,WritingPercentLevel3,WritingLevel4,WritingPercentLevel4,WritingNoScore,WritingPercentNoScore,WritingNotMet,WritingPercentNotMet,WritingExcusedAbsence,WritingExempted,WritingWAASPORT,WritingWAASDAPE,ScienceTotalTestedNotTested,ScienceTotalMSP_HSPETested,ScienceMetStandardIncludingPrevPass,SciencePercentMetStandardIncludingPrevPass,ScienceMetStandardWithoutPrevPass,SciencePercentMetStandardWithoutPrevPass,SciencePercentMetStandardExcludingNoScore,ScienceLevel1,SciencePercentLevel1,ScienceLevel2,SciencePercentLevel2,ScienceLevelBasic,SciencePercentLevelBasic,ScienceLevel3,SciencePercentLevel3,ScienceLevel4,SciencePercentLevel4,ScienceNoScore,SciencePercentNoScore,ScienceNotMet,SciencePercentNotMet,ScienceExcusedAbsence,ScienceExempted,ScienceWAASPORT,ScienceWAASDAPE,ReadingLevelIndex,MathLevelIndex
2013-14,Northwest Educational Service District 189,29,Skagit,29103,Anacortes School District,10,218,214,189,86.3,188,86.2,87.9,5,2.2,21,9.59,3,1.3,36,16.5,149,68.29,4,1.8,30,13.69,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,204,189,87,188,87,92.2,5,2.29,11,5,1,0.4,104,48.1,83,38.39,12,5.5,28,12.9,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.44,
2013-14,Northwest Educational Service District 189,31,Snohomish,31016,Arlington School District,3,281,273,202,71.79,202,71.79,74,34,12,37,13.09,0,0,80,28.39,122,43.39,8,2.79,79,28.1,0,0,9,,280,272,185,66,185,66,68,37,13.19,50,17.8,0,0,119,42.5,66,23.5,8,2.79,95,33.89,0,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97,2.7
2013-14,Northwest Educational Service District 189,31,Snohomish,31016,Arlington School District,4,325,322,255,78.4,255,78.4,79.2,13,4,54,16.6,0,0,127,39,128,39.29,3,0.9,70,21.5,0,1,6,,326,322,217,66.5,217,66.5,67.4,54,16.5,51,15.59,0,0,118,36.1,99,30.3,4,1.19,109,33.39,0,1,5,,325,319,239,73.5,239,73.5,74.9,25,7.59,55,16.89,0,0,147,45.2,92,28.3,6,1.8,86,26.39,1,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11,2.77
2013-14,Northwest Educational Service District 189,31,Snohomish,31016,Arlington School District,5,279,271,213,76.29,213,76.29,78.6,10,3.5,48,17.19,0,0,81,29,132,47.29,8,2.79,66,23.6,2,3,6,,280,270,211,75.29,211,75.29,78.1,21,7.5,38,13.5,0,0,88,31.39,123,43.89,10,3.5,69,24.6,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,3.14,3.04
2013-14,Northwest Educational Service District 189,31,Snohomish,31016,Arlington School District,6,16,9,9,56.2,9,56.2,100,0,0,0,0,0,0,5,31.19,4,25,7,43.7,7,43.7,0,0,6,,16,9,7,43.7,7,43.7,77.8,0,0,2,12.5,0,0,6,37.5,1,6.2,7,43.7,9,56.2,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94,1.62
2013-14,Northwest Educational Service District 189,31,Snohomish,31016,Arlington School District,7,18,13,8,44.39,8,44.39,61.5,2,11.09,3,16.6,0,0,4,22.19,4,22.19,5,27.69,10,55.5,0,0,2,,18,13,4,22.19,4,22.19,30.8,6,33.29,3,16.6,0,0,1,5.5,3,16.6,5,27.69,14,77.7,0,0,2,,18,12,8,44.39,8,44.39,66.7,3,16.6,1,5.5,0,0,6,33.29,2,11.09,6,33.29,10,55.5,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.49
2013-14,Northwest Educational Service District 189,31,Snohomish,31016,Arlington School District,8,20,12,7,35,7,35,58.3,1,5,4,20,0,0,0,0,7,35,8,40,13,65,0,1,6,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,393,292,72,292,72,74.3,23,5.59,78,19.19,0,0,166,40.89,126,31.1,12,2.89,113,27.89,10,1,6,NA,1.85,
2013-14,Northwest Educational Service District 189,31,Snohomish,31016,Arlington School District,10,469,457,413,87.8,412,87.79,90.2,11,2.29,34,7.2,0,0,109,23.19,303,64.59,12,2.5,57,12.09,6,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,462,446,394,85.2,394,85.2,88.3,14,3,38,8.19,0,0,187,40.39,207,44.79,16,3.39,68,14.69,14,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,3.45,
2013-14,Educational Service District 123,2,Asotin,2420,Asotin-Anatone School District,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,56,41,73.2,41,73.2,73.2,4,7.09,11,19.6,0,0,27,48.2,14,25,0,0,15,26.69,0,2,,NA,,
2013-14,Educational Service District 123,2,Asotin,2420,Asotin-Anatone School District,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,49,37,74,37,74,75.5,3,6,9,18,0,0,30,60,7,14,1,2,13,26,0,0,,NA,,
2013-14,Educational Service District 123,2,Asotin,2420,Asotin-Anatone School District,10,45,44,39,86.6,39,86.59,88.6,3,6.59,2,4.4,2,4.4,14,31.1,23,51.1,1,2.2,6,13.3,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,45,44,42,93.3,42,93.29,95.5,1,2.2,1,2.2,1,2.2,19,42.2,22,48.79,1,2.2,3,6.59,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3.13,
2013-14,Puget Sound Educational Service District 121,17,King,17408,Auburn School District,3,1113,1112,871,78.2,871,78.2,78.3,108,9.69,133,11.9,13,1.1,324,29.1,534,47.89,1,0,242,21.69,2,12,16,,1113,1110,821,73.7,821,73.7,74,122,10.9,167,15,6,0.5,420,37.7,395,35.39,3,0.2,292,26.19,1,13,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12,2.96
2013-14,Puget Sound Educational Service District 121,17,King,17408,Auburn School District,4,1093,1092,871,79.59,871,79.59,79.8,32,2.89,189,17.19,39,3.5,385,35.2,447,40.79,1,0,222,20.3,1,9,19,,1093,1091,846,77.4,846,77.4,77.5,122,11.09,123,11.19,0,0,366,33.39,480,43.89,2,0.1,247,22.5,1,9,19,,1090,1072,673,61.7,673,61.7,62.8,136,12.4,263,24.1,11,1,437,40,225,20.6,18,1.6,417,38.2,1,12,19,,,,,,,,,,,,,,,,,,,,,,,,,,,3.06,3.09
2013-14,Puget Sound Educational Service District 121,17,King,17408,Auburn School District,5,1073,1072,813,75.7,813,75.7,75.8,74,6.79,185,17.19,25,2.29,319,29.69,469,43.7,1,0,260,24.19,1,8,19,,1072,1070,842,78.5,842,78.5,78.7,100,9.3,128,11.9,14,1.3,390,36.29,438,40.79,2,0.1,230,21.39,2,8,19,,,,,,,,,,,,,,,,,,,,,,,,,,,1072,1071,668,62.29,668,62.29,62.4,167,15.5,236,22,7,0.6,349,32.5,312,29.1,1,0,404,37.6,2,8,19,NA,3.05,3.05
2013-14,Puget Sound Educational Service District 121,17,King,17408,Auburn School District,6,1049,1048,792,75.5,792,75.5,75.6,83,7.9,173,16.39,9,0.8,445,42.39,338,32.2,1,0,257,24.39,3,15,9,,1047,1046,583,55.6,583,55.6,55.7,213,20.3,250,23.8,0,0,357,34,226,21.5,1,0,464,44.29,3,17,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97,2.56
2013-14,Puget Sound Educational Service District 121,17,King,17408,Auburn School District,7,1047,1046,626,59.7,626,59.7,59.8,163,15.5,257,24.5,10,0.9,296,28.19,320,30.5,1,0,421,40.2,8,16,9,,1052,1048,496,47.1,496,47.1,47.3,319,30.3,233,22.1,4,0.3,305,28.89,187,17.69,4,0.3,556,52.79,5,14,9,,1048,1028,648,61.79,648,61.79,63,167,15.9,213,20.3,12,1.1,421,40.1,215,20.5,20,1.89,400,38.1,7,16,9,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,2.32
2013-14,Puget Sound Educational Service District 121,17,King,17408,Auburn School District,8,1088,1084,733,67.29,733,67.29,67.6,133,12.19,218,20,4,0.3,282,25.89,447,41,4,0.3,355,32.6,6,15,6,,1085,1078,445,41,445,41,41.3,365,33.6,268,24.69,1,0,301,27.69,143,13.09,7,0.6,640,58.89,9,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1085,1080,590,54.29,590,54.29,54.6,189,17.39,301,27.69,5,0.4,437,40.2,148,13.59,5,0.4,495,45.6,8,16,6,NA,2.94,2.18
2013-14,Puget Sound Educational Service District 121,17,King,17408,Auburn School District,10,1144,1101,895,77.8,889,77.7,80.7,81,7,131,11.4,13,1.1,299,26.1,577,50.39,43,3.7,255,22.19,50,45,8,,,,,,,,,,,,,,,,,,,,,,,,,,,1133,1086,953,83.8,949,83.7,87.4,36,3.1,101,8.9,16,1.39,470,41.39,463,40.79,47,4.09,184,16.19,63,43,8,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,
2013-14,Puget Sound Educational Service District 121,18,Kitsap,18303,Bainbridge Island School District,3,270,268,234,86.59,234,86.59,87.3,8,2.89,26,9.59,3,1.1,71,26.19,160,59.2,2,0.7,36,13.3,0,1,2,,270,268,240,88.79,240,88.79,89.6,7,2.5,21,7.7,1,0.3,114,42.2,125,46.2,2,0.7,30,11.09,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.37,3.29
2013-14,Puget Sound Educational Service District 121,18,Kitsap,18303,Bainbridge Island School District,4,288,285,260,90.2,260,90.2,91.2,2,0.6,23,7.9,3,1,125,43.39,132,45.79,3,1,28,9.69,0,1,4,,288,285,259,89.9,259,89.9,90.9,9,3.1,17,5.9,3,1,90,31.19,166,57.6,3,1,29,10,0,1,4,,288,283,230,79.79,230,79.79,81.3,12,4.09,41,14.19,5,1.7,123,42.7,102,35.39,5,1.7,58,20.1,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,3.39
2013-14,Puget Sound Educational Service District 121,18,Kitsap,18303,Bainbridge Island School District,5,309,304,280,90.59,280,90.59,92.1,2,0.6,22,7.09,3,0.9,66,21.3,211,68.2,5,1.6,29,9.3,0,1,4,,308,303,232,75.29,232,75.29,76.6,18,5.79,53,17.19,0,0,111,36,121,39.2,5,1.6,76,24.6,0,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,310,305,258,83.2,258,83.2,84.6,9,2.89,38,12.19,0,0,98,31.6,160,51.6,5,1.6,52,16.69,0,1,3,NA,3.51,3.05
